=== Starting Gemma 4 RL Training Job ===
Node: hpc8l4-01
Date: Thu Jun 18 01:28:31 PM IDT 2026
Loading dataset...
Loaded and formatted 388 tasks.
Train dataset size: 310
Val dataset size: 78
Loading model and processor...
Initializing GRPOTrainer...
Starting RL/GRPO training...
{'loss': '0.1633', 'grad_norm': '0.1962', 'learning_rate': '9.527e-06', 'num_tokens': '9.508e+04', 'completions/mean_length': '120.9', 'completions/min_length': '37', 'completions/max_length': '256', 'completions/clipped_ratio': '0.125', 'completions/mean_terminated_length': '101.6', 'completions/min_terminated_length': '37', 'completions/max_terminated_length': '220', 'rewards/correctness_reward/mean': '0', 'rewards/correctness_reward/std': '0', 'rewards/format_reward/mean': '0.08125', 'rewards/format_reward/std': '0.0372', 'reward': '0.08125', 'reward_std': '0.0372', 'frac_reward_zero_std': '0.5', 'entropy': '0.4818', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '27.7', 'epoch': '0.1484'}
{'loss': '0.2015', 'grad_norm': '0.3853', 'learning_rate': '9.505e-06', 'num_tokens': '9.9e+04', 'completions/mean_length': '85.25', 'completions/min_length': '35', 'completions/max_length': '256', 'completions/clipped_ratio': '0.125', 'completions/mean_terminated_length': '60.86', 'completions/min_terminated_length': '35', 'completions/max_terminated_length': '104', 'rewards/correctness_reward/mean': '0', 'rewards/correctness_reward/std': '0', 'rewards/format_reward/mean': '0.075', 'rewards/format_reward/std': '0.02673', 'reward': '0.075', 'reward_std': '0.02673', 'frac_reward_zero_std': '0', 'entropy': '0.6326', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '29.03', 'epoch': '0.1548'}
{'loss': '0.4664', 'grad_norm': '0.2593', 'learning_rate': '9.484e-06', 'num_tokens': '1.029e+05', 'completions/mean_length': '92.75', 'completions/min_length': '47', 'completions/max_length': '256', 'completions/clipped_ratio': '0.125', 'completions/mean_terminated_length': '69.43', 'completions/min_terminated_length': '47', 'completions/max_terminated_length': '111', 'rewards/correctness_reward/mean': '0.125', 'rewards/correctness_reward/std': '0.3536', 'rewards/format_reward/mean': '0.08125', 'rewards/format_reward/std': '0.0372', 'reward': '0.2063', 'reward_std': '0.363', 'frac_reward_zero_std': '0', 'entropy': '0.5599', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '28.83', 'epoch': '0.1613'}
{'loss': '0.3882', 'grad_norm': '0.4858', 'learning_rate': '9.462e-06', 'num_tokens': '1.07e+05', 'completions/mean_length': '119.4', 'completions/min_length': '50', 'completions/max_length': '256', 'completions/clipped_ratio': '0.25', 'completions/mean_terminated_length': '73.83', 'completions/min_terminated_length': '50', 'completions/max_terminated_length': '93', 'rewards/correctness_reward/mean': '0', 'rewards/correctness_reward/std': '0', 'rewards/format_reward/mean': '0.05625', 'rewards/format_reward/std': '0.04173', 'reward': '0.05625', 'reward_std': '0.04173', 'frac_reward_zero_std': '0', 'entropy': '0.7368', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '28.81', 'epoch': '0.1677'}
{'loss': '-0.09611', 'grad_norm': '0.2439', 'learning_rate': '9.441e-06', 'num_tokens': '1.115e+05', 'completions/mean_length': '180.8', 'completions/min_length': '70', 'completions/max_length': '256', 'completions/clipped_ratio': '0.5', 'completions/mean_terminated_length': '105.5', 'completions/min_terminated_length': '70', 'completions/max_terminated_length': '175', 'rewards/correctness_reward/mean': '0.125', 'rewards/correctness_reward/std': '0.3536', 'rewards/format_reward/mean': '0.05625', 'rewards/format_reward/std': '0.04173', 'reward': '0.1812', 'reward_std': '0.3535', 'frac_reward_zero_std': '0', 'entropy': '0.9268', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '27.96', 'epoch': '0.1742'}
{'loss': '0.1703', 'grad_norm': '0.2604', 'learning_rate': '9.419e-06', 'num_tokens': '1.162e+05', 'completions/mean_length': '213.9', 'completions/min_length': '71', 'completions/max_length': '256', 'completions/clipped_ratio': '0.75', 'completions/mean_terminated_length': '87.5', 'completions/min_terminated_length': '71', 'completions/max_terminated_length': '104', 'rewards/correctness_reward/mean': '0', 'rewards/correctness_reward/std': '0', 'rewards/format_reward/mean': '0.0375', 'rewards/format_reward/std': '0.05175', 'reward': '0.0375', 'reward_std': '0.05175', 'frac_reward_zero_std': '0', 'entropy': '0.6252', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '27.97', 'epoch': '0.1806'}
{'loss': '0.3292', 'grad_norm': '0.158', 'learning_rate': '9.398e-06', 'num_tokens': '1.21e+05', 'completions/mean_length': '195', 'completions/min_length': '70', 'completions/max_length': '256', 'completions/clipped_ratio': '0.625', 'completions/mean_terminated_length': '93.33', 'completions/min_terminated_length': '70', 'completions/max_terminated_length': '106', 'rewards/correctness_reward/mean': '0', 'rewards/correctness_reward/std': '0', 'rewards/format_reward/mean': '0.03125', 'rewards/format_reward/std': '0.04581', 'reward': '0.03125', 'reward_std': '0.04581', 'frac_reward_zero_std': '0', 'entropy': '0.6359', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '29.2', 'epoch': '0.1871'}
{'loss': '0.1348', 'grad_norm': '0.5323', 'learning_rate': '9.376e-06', 'num_tokens': '1.249e+05', 'completions/mean_length': '123.1', 'completions/min_length': '44', 'completions/max_length': '256', 'completions/clipped_ratio': '0.25', 'completions/mean_terminated_length': '78.83', 'completions/min_terminated_length': '44', 'completions/max_terminated_length': '171', 'rewards/correctness_reward/mean': '0.5', 'rewards/correctness_reward/std': '0.5345', 'rewards/format_reward/mean': '0.0625', 'rewards/format_reward/std': '0.04432', 'reward': '0.5625', 'reward_std': '0.5624', 'frac_reward_zero_std': '0', 'entropy': '0.759', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '27.62', 'epoch': '0.1935'}
{'loss': '0.03307', 'grad_norm': '0.3641', 'learning_rate': '9.355e-06', 'num_tokens': '1.29e+05', 'completions/mean_length': '117.1', 'completions/min_length': '37', 'completions/max_length': '256', 'completions/clipped_ratio': '0.25', 'completions/mean_terminated_length': '70.83', 'completions/min_terminated_length': '37', 'completions/max_terminated_length': '119', 'rewards/correctness_reward/mean': '0.125', 'rewards/correctness_reward/std': '0.3536', 'rewards/format_reward/mean': '0.0875', 'rewards/format_reward/std': '0.02315', 'reward': '0.2125', 'reward_std': '0.3389', 'frac_reward_zero_std': '0.5', 'entropy': '0.6983', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '28.6', 'epoch': '0.2'}
{'loss': '3.725e-09', 'grad_norm': '0.2916', 'learning_rate': '9.333e-06', 'num_tokens': '1.35e+05', 'completions/mean_length': '256', 'completions/min_length': '256', 'completions/max_length': '256', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/correctness_reward/mean': '0', 'rewards/correctness_reward/std': '0', 'rewards/format_reward/mean': '0.00625', 'rewards/format_reward/std': '0.01768', 'reward': '0.00625', 'reward_std': '0.01768', 'frac_reward_zero_std': '0.5', 'entropy': '0.5157', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '31.16', 'epoch': '0.2065'}
